epoch,phase,mean_loss,std_loss
1,global,1698.2686,114.40683
2,global,1475.8481,95.10524
3,global,1337.857,74.14979
4,global,1254.6414,65.35121
5,global,1202.1852,56.750694
6,global,1163.5366,54.90153
7,global,1130.1932,56.904224
8,global,1098.1178,58.0509
9,global,1064.158,57.204693
10,global,1032.7799,55.02878
11,global,1005.6798,55.140827
12,global,979.2328,56.519268
13,global,955.9506,58.348858
14,global,932.61847,54.248043
15,global,914.9565,52.926376
16,global,898.6792,51.634766
17,global,883.7852,51.20017
18,global,873.235,48.33381
19,global,861.7499,48.976154
20,global,850.85974,52.554825
21,global,842.523,49.182327
22,global,837.74896,48.106194
23,global,830.0186,47.684963
24,global,822.2916,51.14376
25,global,817.3574,47.088673
26,global,809.67285,47.616352
27,global,804.1191,51.404198
28,global,798.4703,47.17703
29,global,792.32605,48.8474
30,global,785.0677,46.135147
31,global,780.5689,46.50439
32,global,775.5006,51.067764
33,global,771.5834,49.398174
34,global,765.6404,52.148716
35,global,761.77606,50.390213
36,global,757.32587,46.10282
37,global,753.0392,47.903576
38,global,749.8084,45.527603
39,global,745.9052,51.941147
40,global,740.9308,49.145462
41,global,736.73016,49.48315
42,global,733.9988,46.65733
43,global,728.2767,47.022114
44,global,725.84406,46.487827
45,global,720.486,47.74249
46,global,717.0174,47.757893
47,global,712.01636,44.797283
48,global,709.32324,48.70287
49,global,706.0874,50.163776
50,global,701.8093,45.513615
51,global,699.2222,46.598225
52,global,695.7139,48.388348
53,global,691.3021,45.71045
54,global,687.3766,47.912014
55,global,684.90656,47.460087
56,global,680.879,46.635643
57,global,678.584,45.332897
58,global,675.0314,45.891685
59,global,673.33295,42.17881
60,global,667.25275,47.369152
61,global,665.6301,42.8269
62,global,661.63306,42.478313
63,global,658.6127,48.155155
64,global,656.30457,43.371674
65,global,652.8009,43.79861
66,global,649.9777,44.70562
67,global,646.8638,41.330997
68,global,644.0805,40.982487
69,global,640.54626,47.146835
70,global,637.0481,46.325993
71,global,633.92377,41.145103
72,global,631.65454,45.582706
73,global,629.9086,45.236534
74,global,625.9296,44.022552
75,global,622.81415,45.593647
76,local,619.89795,38.990997
77,local,617.6538,38.325264
78,local,614.25146,43.074383
79,local,612.1228,43.407745
80,local,608.6646,45.931774
81,local,606.1816,44.205845
82,local,602.77734,44.428665
83,local,601.4889,45.162895
84,local,597.8342,39.39152
85,local,594.8638,42.70337
86,local,593.55914,38.986828
87,local,589.607,42.340878
88,local,586.7133,41.05528
89,local,585.433,41.55754
90,local,582.9241,41.507465
91,local,579.59674,40.780563
92,local,576.9825,45.321663
93,local,574.5699,42.295155
94,local,571.8784,40.36822
95,local,570.97205,40.687
96,local,567.37585,39.10949
97,local,565.1253,44.912357
98,local,563.61804,40.861385
99,local,560.6571,36.21518
100,local,557.2843,37.78817
101,local,555.6763,40.59789
102,local,553.4261,41.786266
103,local,549.9705,39.21638
104,local,548.3553,42.074818
105,local,545.72815,41.79233
106,local,544.3746,38.03249
107,local,542.0581,39.079327
108,local,539.04095,39.04954
109,local,537.486,39.195885
110,local,534.75775,40.010643
111,local,532.50574,41.2537
112,local,530.4376,37.692863
113,local,529.8745,38.07464
114,local,526.78687,41.450626
115,local,524.30756,35.74106
116,local,522.70905,37.84509
117,local,520.1293,37.095036
118,local,517.7733,40.56312
119,local,516.35504,39.40019
120,local,514.19,39.649616
121,local,512.56555,36.393448
122,local,510.18964,38.644474
123,local,508.84503,41.179432
124,local,505.90533,39.69239
125,local,504.20175,38.263836
126,local,502.28613,37.30574
127,local,500.11746,37.152836
128,local,498.62222,39.783985
129,local,495.49704,38.970146
130,local,495.11685,36.102642
131,local,493.62756,38.04791
132,local,491.97638,37.858543
133,local,488.98514,39.784645
134,local,487.46524,39.621197
135,local,486.23187,38.941444
136,local,484.47162,43.03089
137,local,483.60974,38.682903
138,local,481.0053,40.31912
139,local,479.18555,38.249783
140,local,477.32736,35.299084
141,local,474.65237,38.43861
142,local,473.98132,32.519726
143,local,472.20502,34.45089
144,local,469.92706,37.22084
145,local,469.22623,34.155876
146,local,466.9016,34.96602
147,local,465.37515,34.46568
148,local,463.5342,37.29431
149,local,462.44666,33.08352
150,local,461.52936,34.13708
151,local,454.318,36.310818
152,local,452.83685,39.19011
153,local,451.58844,38.669636
154,local,451.28497,36.6051
155,local,449.21384,32.721577
156,local,447.59177,33.52971
157,local,446.82324,35.085358
158,local,444.97577,33.70826
159,local,443.62918,34.863316
160,local,442.6126,33.279152
161,local,440.81787,34.32377
162,local,439.58777,33.32421
163,local,438.17987,36.705696
164,local,436.90707,36.459175
165,local,435.3561,30.513151
166,local,434.78345,38.335087
167,local,433.74405,33.2476
168,local,431.56015,35.150524
169,local,430.99152,33.59796
170,local,428.8439,36.621677
171,local,427.97125,35.40361
172,local,426.5839,35.529972
173,local,425.15784,36.531155
174,local,422.90198,36.582115
175,local,421.95975,35.12899
176,local,419.7842,39.19069
177,local,418.51166,32.902645
178,local,417.83685,33.33553
179,local,416.38803,36.178207
180,local,415.67407,34.691437
181,local,412.8258,34.853973
182,local,411.88925,33.78979
183,local,409.79117,32.620174
184,local,410.02164,34.25465
185,local,407.55536,33.69387
186,local,405.7405,32.058075
187,local,404.84848,32.517635
188,local,403.57904,32.847023
189,local,402.0884,31.255674
190,local,401.83838,34.2287
191,local,399.30563,34.690765
192,local,398.23978,32.393078
193,local,397.24402,31.87211
194,local,395.37372,34.913696
195,local,394.8347,31.296467
196,local,392.1112,32.872456
197,local,391.59955,34.594646
198,local,390.70355,37.11447
199,local,389.30542,34.695415
200,local,387.50708,32.641903
201,local,386.1500,32.54983
202,local,384.8032,32.45811
203,local,383.4660,32.36673
204,local,382.1384,32.27569
205,local,380.8203,32.18499
206,local,379.5117,32.09462
207,local,378.2125,32.00458
208,local,376.9227,31.91487
209,local,375.6422,31.82549
210,local,374.3710,31.73643
211,local,373.1090,31.64770
212,local,371.8562,31.55928
213,local,370.6125,31.47118
214,local,369.3779,31.38340
215,local,368.1523,31.29593
216,local,366.9357,31.20877
217,local,365.7280,31.12192
218,local,364.5292,31.03537
219,local,363.3392,30.94913
220,local,362.1580,30.86319
221,local,360.9855,30.77755
222,local,359.8217,30.69220
223,local,358.6665,30.60715
224,local,357.5199,30.52239
225,local,356.3818,30.43792
226,local,355.2522,30.35373
227,local,354.1310,30.26983
228,local,353.0182,30.18621
229,local,351.9137,30.10287
230,local,350.8175,30.01980
231,local,349.7295,29.93701
232,local,348.6497,29.85449
233,local,347.5780,29.77224
234,local,346.5144,29.69025
235,local,345.4589,29.60853
236,local,344.4114,29.52707
237,local,343.3718,29.44587
238,local,342.3402,29.36493
239,local,341.3164,29.28424
240,local,340.3005,29.20380
241,local,339.2923,29.12362
242,local,338.2919,29.04368
243,local,337.2992,28.96399
244,local,336.3141,28.88454
245,local,335.3367,28.80533
246,local,334.3668,28.72636
247,local,333.4045,28.64763
248,local,332.4496,28.56914
249,local,331.5022,28.49088
250,local,330.5622,28.41285
251,local,330.1255,28.36402
252,local,329.6899,28.31534
253,local,329.2554,28.26682
254,local,328.8220,28.21846
255,local,328.3897,28.17025
256,local,327.9585,28.12220
257,local,327.5284,28.07430
258,local,327.0993,28.02656
259,local,326.6713,27.97897
260,local,326.2444,27.93154
261,local,325.8185,27.88426
262,local,325.3937,27.83714
263,local,324.9700,27.79017
264,local,324.5473,27.74336
265,local,324.1257,27.69670
266,local,323.7051,27.65019
267,local,323.2856,27.60384
268,local,322.8671,27.55764
269,local,322.4497,27.51159
270,local,322.0333,27.46570
271,local,321.6180,27.41996
272,local,321.2037,27.37437
273,local,320.7904,27.32893
274,local,320.3782,27.28365
275,local,319.9670,27.23852
276,local,319.5568,27.19354
277,local,319.1477,27.14871
278,local,318.7396,27.10403
279,local,318.3325,27.05950
280,local,317.9264,27.01513
281,local,317.5214,26.97090
282,local,317.1173,26.92683
283,local,316.7143,26.88290
284,local,316.3123,26.83913
285,local,315.9113,26.79550
286,local,315.5113,26.75203
287,local,315.1123,26.70870
288,local,314.7143,26.66552
289,local,314.3173,26.62249
290,local,313.9213,26.57961
291,local,313.5263,26.53688
292,local,313.1323,26.49430
293,local,312.7393,26.45186
294,local,312.3473,26.40957
295,local,311.9563,26.36743
296,local,311.5663,26.32543
297,local,311.1772,26.28359
298,local,310.7891,26.24189
299,local,310.4020,26.20033
300,local,310.0159,26.15892
